2026-04-22 13:55:00 | semgrep-preflight | mcl-activate | unsupported-stack
2026-04-23 16:50:20 | semgrep-preflight | mcl-activate | unsupported-stack
2026-04-23 16:56:20 | semgrep-preflight | mcl-activate | unsupported-stack
2026-04-23 17:07:32 | semgrep-preflight | mcl-activate | unsupported-stack
2026-04-23 17:11:00 | semgrep-preflight | mcl-activate | unsupported-stack
2026-04-23 17:11:27 | set | mcl-stop.sh | field=partial_spec value=true
2026-04-23 17:11:27 | set | mcl-stop.sh | field=partial_spec_body_sha value="0f7cdc8aaebc3832"
2026-04-23 17:11:27 | partial-spec | stop | missing=Objective,Acceptance Criteria,Technical Approach
2026-04-23 17:11:28 | set | mcl-stop.sh | field=drift_detected value=true
2026-04-23 17:11:28 | set | mcl-stop.sh | field=drift_hash value="0f7cdc8aaebc38320de847ad2b57d26a425feca55c927282ac0e3a148682d0af"
2026-04-23 17:19:44 | semgrep-preflight | mcl-activate | unsupported-stack
2026-04-23 17:22:39 | set | mcl-stop.sh | field=partial_spec value=true
2026-04-23 17:22:39 | set | mcl-stop.sh | field=partial_spec_body_sha value="0f7cdc8aaebc3832"
2026-04-23 17:22:39 | partial-spec | stop | missing=Objective,Acceptance Criteria,Technical Approach
2026-04-23 17:22:39 | set | mcl-stop.sh | field=drift_detected value=true
2026-04-23 17:22:39 | set | mcl-stop.sh | field=drift_hash value="0f7cdc8aaebc38320de847ad2b57d26a425feca55c927282ac0e3a148682d0af"
2026-04-23 17:23:12 | semgrep-preflight | mcl-activate | unsupported-stack
2026-04-23 17:28:39 | drift-warn | pre-tool | tool=Write phase=4
2026-04-23 17:28:59 | drift-warn | pre-tool | tool=Edit phase=4
2026-04-23 17:29:43 | drift-warn | pre-tool | tool=Edit phase=4
2026-04-23 17:30:03 | drift-warn | pre-tool | tool=Edit phase=4
2026-04-23 20:05:16 | semgrep-preflight | mcl-activate | unsupported-stack
2026-04-23 20:06:21 | drift-warn | pre-tool | tool=Edit phase=4
2026-04-23 20:06:38 | drift-warn | pre-tool | tool=Write phase=4
2026-04-23 20:06:58 | semgrep-preflight | mcl-activate | unsupported-stack
2026-04-23 20:09:25 | set | mcl-stop.sh | field=partial_spec value=false
2026-04-23 20:09:25 | set | mcl-stop.sh | field=partial_spec_body_sha value=null
2026-04-23 20:09:25 | partial-spec-cleared | stop | 
2026-04-23 20:09:26 | set | mcl-stop.sh | field=drift_detected value=true
2026-04-23 20:09:26 | set | mcl-stop.sh | field=drift_hash value="6c751c82b24b41455dba89327c5b42bd42785f291c6c69da2b967e396d7800cd"
2026-04-23 20:56:52 | semgrep-preflight | mcl-activate | unsupported-stack
2026-04-24 00:39:23 | semgrep-preflight | mcl-activate | unsupported-stack
2026-04-24 00:40:24 | semgrep-preflight | mcl-activate | unsupported-stack
2026-04-24 00:55:12 | semgrep-preflight | mcl-activate | unsupported-stack
2026-04-24 00:59:11 | semgrep-preflight | mcl-activate | unsupported-stack
2026-04-24 01:02:32 | semgrep-preflight | mcl-activate | unsupported-stack
2026-04-24 01:03:13 | semgrep-preflight | mcl-activate | unsupported-stack
2026-04-24 01:17:08 | semgrep-preflight | mcl-activate | unsupported-stack
2026-04-24 01:17:31 | set | mcl-stop.sh | field=drift_detected value=true
2026-04-24 01:17:31 | set | mcl-stop.sh | field=drift_hash value="5b4290d3724617efe5002a803bfa5ff7d47c7c4424a4efc51006eb7913f2f550"
2026-04-24 01:17:31 | summary-confirm-approve | stop | selected=User has answered your questions: "MCL 6.5.6 | Spec doğru mu?"="evet doğru. eksik bişey olmaz dimi ?". You can now continue with the user's answers in mind.
2026-04-24 01:21:10 | semgrep-preflight | mcl-activate | unsupported-stack
2026-04-24 01:22:09 | set | mcl-stop.sh | field=drift_detected value=true
2026-04-24 01:22:09 | set | mcl-stop.sh | field=drift_hash value="5b4290d3724617efe5002a803bfa5ff7d47c7c4424a4efc51006eb7913f2f550"
2026-04-24 01:22:09 | summary-confirm-approve | stop | selected=User has answered your questions: "MCL 6.5.6 | Spec doğru mu?"="evet doğru. eksik bişey olmaz dimi ?". You can now continue with the user's answers in mind.
2026-04-24 01:23:22 | semgrep-preflight | mcl-activate | unsupported-stack
2026-04-24 01:24:40 | set | mcl-stop.sh | field=drift_detected value=true
2026-04-24 01:24:41 | set | mcl-stop.sh | field=drift_hash value="5b4290d3724617efe5002a803bfa5ff7d47c7c4424a4efc51006eb7913f2f550"
2026-04-24 01:24:41 | summary-confirm-approve | stop | selected=User has answered your questions: "MCL 6.5.6 | Spec doğru mu?"="evet doğru. eksik bişey olmaz dimi ?". You can now continue with the user's answers in mind.
2026-04-24 01:26:28 | semgrep-preflight | mcl-activate | unsupported-stack
2026-04-24 01:32:44 | drift-warn | pre-tool | tool=Edit phase=4
2026-04-24 01:33:04 | drift-warn | pre-tool | tool=Edit phase=4
2026-04-24 01:33:13 | drift-warn | pre-tool | tool=Edit phase=4
2026-04-24 01:33:32 | drift-warn | pre-tool | tool=Edit phase=4
2026-04-24 01:33:43 | drift-warn | pre-tool | tool=Edit phase=4
2026-04-24 01:34:05 | drift-warn | pre-tool | tool=Edit phase=4
2026-04-24 01:34:32 | drift-warn | pre-tool | tool=Edit phase=4
2026-04-24 01:34:56 | drift-warn | pre-tool | tool=Edit phase=4
2026-04-24 01:35:44 | semgrep-preflight | mcl-activate | unsupported-stack
2026-04-24 01:36:22 | set | mcl-stop.sh | field=drift_detected value=true
2026-04-24 01:36:22 | set | mcl-stop.sh | field=drift_hash value="5b4290d3724617efe5002a803bfa5ff7d47c7c4424a4efc51006eb7913f2f550"
2026-04-24 01:36:22 | summary-confirm-approve | stop | selected=User has answered your questions: "MCL 6.5.6 | Spec doğru mu?"="evet doğru. eksik bişey olmaz dimi ?". You can now continue with the user's answers in mind.
2026-04-24 01:55:03 | semgrep-preflight | mcl-activate | unsupported-stack
2026-04-24 01:56:23 | drift-warn | pre-tool | tool=Edit phase=4
2026-04-24 01:56:30 | drift-warn | pre-tool | tool=Edit phase=4
2026-04-24 01:56:36 | semgrep-preflight | mcl-activate | unsupported-stack
2026-04-24 01:56:55 | set | mcl-stop.sh | field=drift_detected value=true
2026-04-24 01:56:55 | set | mcl-stop.sh | field=drift_hash value="5b4290d3724617efe5002a803bfa5ff7d47c7c4424a4efc51006eb7913f2f550"
2026-04-24 01:56:55 | summary-confirm-approve | stop | selected=User has answered your questions: "MCL 6.5.6 | Spec doğru mu?"="evet doğru. eksik bişey olmaz dimi ?". You can now continue with the user's answers in mind.
2026-04-24 01:59:17 | semgrep-preflight | mcl-activate | unsupported-stack
2026-04-24 02:05:22 | drift-warn | pre-tool | tool=Write phase=4
2026-04-24 02:05:59 | drift-warn | pre-tool | tool=Edit phase=4
2026-04-24 02:06:13 | drift-warn | pre-tool | tool=Edit phase=4
2026-04-24 02:06:30 | drift-warn | pre-tool | tool=Edit phase=4
2026-04-24 02:06:50 | drift-warn | pre-tool | tool=Edit phase=4
2026-04-24 02:07:08 | semgrep-preflight | mcl-activate | unsupported-stack
2026-04-24 02:07:12 | semgrep-preflight | mcl-activate | unsupported-stack
